,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
42,Shared room,Boston,Jamaica Plain,95,4.5,2,1.0,54.0,42.309632,-71.116218,0101000020E6100000384D9F1D70C751C0C5E57805A2274540
43,Shared room,Boston,Fenway,0,0.0,2,1.0,60.0,42.34724,-71.089371,0101000020E61000007E8D2441B8C551C078EE3D5C722C4540
44,Shared room,Boston,Allston,6,5.0,1,1.0,49.0,42.349999,-71.133253,0101000020E61000000246973787C851C0FC5069C4CC2C4540
45,Shared room,Boston,Roxbury,3,4.5,1,1.0,57.0,42.319036,-71.097426,0101000020E6100000EDF1423A3CC651C0921FF12BD6284540
46,Shared room,Boston,Jamaica Plain,8,5.0,1,1.0,50.0,42.298636,-71.111825,0101000020E610000003780B2428C751C042B456B439264540
47,Shared room,Boston,Fenway,33,4.5,1,1.0,50.0,42.346267,-71.106227,0101000020E6100000F1BC546CCCC651C08E57207A522C4540
48,Shared room,Boston,South Boston,14,5.0,1,1.0,50.0,42.334802,-71.054153,0101000020E6100000BDFE243E77C351C05551BCCADA2A4540
49,Shared room,Boston,Brighton,2,0.0,1,1.0,40.0,42.346481,-71.138486,0101000020E61000000C3D62F4DCC851C0BAD7497D592C4540
50,Shared room,Boston,Mission Hill,11,3.5,1,1.0,28.0,42.333804,-71.096172,0101000020E61000009EB29AAE27C651C012A3E716BA2A4540
51,Shared room,Boston,Allston,0,0.0,2,1.0,29.0,42.347452000000004,-71.140124,0101000020E61000009F58A7CAF7C851C00377A04E792C4540
52,Shared room,Boston,Mission Hill,1,0.0,1,1.0,35.0,42.33338,-71.100241,0101000020E6100000F92D3A596AC651C0FB912232AC2A4540
53,Shared room,Boston,Fenway,0,0.0,1,1.0,39.0,42.345253,-71.103605,0101000020E6100000EFACDD76A1C651C046EC1340312C4540
54,Shared room,Boston,Allston,3,0.0,1,1.0,35.0,42.349352,-71.136227,0101000020E6100000437573F1B7C851C06765FB90B72C4540
55,Shared room,Boston,Brighton,20,5.0,1,1.0,36.0,42.3457,-71.144551,0101000020E6100000AA66D65240C951C0151DC9E53F2C4540
56,Shared room,Boston,Jamaica Plain,11,4.5,2,1.0,30.0,42.325466,-71.104129,0101000020E61000002C64AE0CAAC651C0DFFAB0DEA8294540
57,Shared room,Boston,Mission Hill,3,3.0,1,1.0,22.0,42.332978000000004,-71.103163,0101000020E610000010CAFB389AC651C0CC24EA059F2A4540
58,Shared room,Boston,Dorchester,7,5.0,1,1.0,40.0,42.31221,-71.077375,0101000020E6100000CBA145B6F3C451C0F9BD4D7FF6274540
59,Shared room,Boston,Allston,0,0.0,1,1.0,35.0,42.350339,-71.133791,0101000020E6100000F25F200890C851C0B5C189E8D72C4540
60,Shared room,Boston,Roxbury,80,4.5,1,1.0,35.0,42.3246,-71.097999,0101000020E61000009B02999D45C651C00B24287E8C294540
61,Shared room,Boston,Brighton,19,4.5,1,1.0,35.0,42.346081,-71.144396,0101000020E6100000166BB8C83DC951C02C62D8614C2C4540
62,Shared room,Boston,Fenway,16,4.5,2,1.0,39.0,42.34744,-71.103008,0101000020E61000007DCEDDAE97C651C03FA9F6E9782C4540
63,Shared room,Boston,Roxbury,0,0.0,4,1.0,30.0,42.32608,-71.089128,0101000020E61000001B4AED45B4C551C099F04BFDBC294540
64,Shared room,Boston,Mission Hill,5,4.0,1,1.0,30.0,42.332229999999996,-71.107074,0101000020E61000001F10E84CDAC651C003603C83862A4540
65,Entire home/apt,Boston,Jamaica Plain,3,4.5,7,3.0,500.0,42.307049,-71.116624,0101000020E6100000707B82C476C751C07FA2B2614D274540
66,Entire home/apt,Boston,Allston,13,4.5,15,7.0,550.0,42.357952000000004,-71.135277,0101000020E6100000AAB9DC60A8C851C0D6C4025FD12D4540
67,Entire home/apt,Boston,South Boston Waterfront,8,4.5,6,3.0,569.0,42.352645,-71.045701,0101000020E61000003F19E3C3ECC251C0890CAB78232D4540
68,Entire home/apt,Boston,Chinatown,7,5.0,4,2.0,349.0,42.350722999999995,-71.062937,0101000020E6100000562DE92807C451C03E7AC37DE42C4540
69,Entire home/apt,Boston,Leather District,3,5.0,4,2.0,409.0,42.351442999999996,-71.058003,0101000020E610000079043752B6C351C03EB48F15FC2C4540
70,Entire home/apt,Boston,South End,6,5.0,4,1.0,190.0,42.34595,-71.07249,0101000020E61000005FD218ADA3C451C08E06F016482C4540
71,Entire home/apt,Boston,Mission Hill,0,0.0,5,2.0,171.0,42.32965,-71.109978,0101000020E6100000E3512AE109C751C02E90A0F8312A4540
72,Entire home/apt,Boston,Brighton,0,0.0,4,1.0,99.0,42.340902,-71.14669,0101000020E61000009E29745E63C951C00C923EADA22B4540
73,Entire home/apt,Boston,Charlestown,66,4.5,8,2.0,75.0,42.377387,-71.060435,0101000020E61000002922C32ADEC351C0C0779B374E304540
74,Entire home/apt,Boston,Fenway,1,0.0,5,2.0,537.0,42.345251,-71.097636,0101000020E610000062BA10AB3FC651C0A5F44C2F312C4540
75,Entire home/apt,Boston,South Boston Waterfront,1,0.0,7,3.0,617.0,42.351434999999995,-71.046355,0101000020E61000006440F67AF7C251C0BBD573D2FB2C4540
76,Entire home/apt,Boston,Back Bay,3,5.0,6,2.0,550.0,42.355517,-71.073541,0101000020E6100000927A4FE5B4C451C00516C094812D4540
77,Entire home/apt,Boston,Jamaica Plain,0,0.0,4,1.0,160.0,42.296844,-71.11573100000001,0101000020E61000008908FF2268C751C0C501F4FBFE254540
78,Entire home/apt,Boston,Roslindale,32,4.5,4,2.0,111.0,42.282905,-71.132677,0101000020E61000009CFBABC77DC851C0FC6F253B36244540
79,Entire home/apt,Boston,Roxbury,109,4.5,3,0.0,89.0,42.31289,-71.083155,0101000020E6100000EE5F596952C551C06B9F8EC70C284540
80,Entire home/apt,Boston,Brighton,0,0.0,3,1.0,74.0,42.339983000000004,-71.155049,0101000020E6100000C311A452ECC951C015191D90842B4540
81,Entire home/apt,Boston,Mattapan,25,4.5,5,2.0,65.0,42.281892,-71.093627,0101000020E610000072C119FCFDC551C084807C0915244540
82,Entire home/apt,Boston,Jamaica Plain,16,5.0,12,4.0,725.0,42.315911,-71.11275699999999,0101000020E610000049D9226937C751C02CB98AC56F284540
83,Entire home/apt,Boston,South End,31,5.0,8,3.0,869.0,42.343639,-71.070235,0101000020E61000003602F1BA7EC451C0A950DD5CFC2B4540
84,Entire home/apt,Boston,Back Bay,0,0.0,6,2.0,975.0,42.351257000000004,-71.084352,0101000020E61000008A56EE0566C551C0DBBE47FDF52C4540
85,Entire home/apt,Boston,Charlestown,7,4.5,6,4.0,780.0,42.381952000000005,-71.06867,0101000020E6100000D80DDB1665C451C026529ACDE3304540
86,Entire home/apt,Boston,Fenway,0,0.0,5,2.0,537.0,42.34493,-71.09974,0101000020E61000009886E12362C651C063B48EAA262C4540
87,Entire home/apt,Boston,Chinatown,0,0.0,5,2.0,594.0,42.350623999999996,-71.060751,0101000020E6100000C18C2958E3C351C0AB984A3FE12C4540
88,Entire home/apt,Boston,Chinatown,2,0.0,5,2.0,548.0,42.351563,-71.062661,0101000020E6100000056F48A302C451C0E8BD3104002D4540
89,Entire home/apt,Boston,South Boston Waterfront,0,0.0,5,2.0,617.0,42.352383,-71.047151,0101000020E610000051BEA08504C351C04C55DAE21A2D4540
90,Entire home/apt,Boston,Roxbury,3,5.0,8,4.0,600.0,42.329640000000005,-71.092741,0101000020E6100000E57FF277EFC551C00ABABDA4312A4540
91,Entire home/apt,Boston,Charlestown,0,0.0,6,3.0,599.0,42.383824,-71.067669,0101000020E6100000FE7C5BB054C451C0BFB5132521314540
92,Entire home/apt,Boston,Back Bay,0,0.0,2,1.0,600.0,42.348071999999995,-71.076639,0101000020E610000048A643A7E7C451C0A053909F8D2C4540
93,Entire home/apt,Boston,Chinatown,2,0.0,5,2.0,594.0,42.348620000000004,-71.06098399999999,0101000020E610000013656F29E7C351C0A25D85949F2C4540
94,Entire home/apt,Boston,Beacon Hill,14,5.0,6,3.0,559.0,42.357378000000004,-71.071351,0101000020E61000005DE2C80391C451C0AA27F38FBE2D4540
95,Entire home/apt,Boston,North End,2,0.0,6,3.0,505.0,42.363884999999996,-71.050749,0101000020E610000080D3BB783FC351C0A3409FC8932E4540
96,Entire home/apt,Boston,Back Bay,22,4.5,4,2.0,356.0,42.347946,-71.084882,0101000020E61000003881E9B46EC551C01363997E892C4540
97,Entire home/apt,Boston,Fenway,0,0.0,3,1.0,379.0,42.343034,-71.100608,0101000020E6100000D26D895C70C651C042B5C189E82B4540
98,Entire home/apt,Boston,Fenway,0,0.0,4,2.0,375.0,42.343125,-71.101437,0101000020E6100000AE669DF17DC651C052B81E85EB2B4540
99,Entire home/apt,Boston,Back Bay,12,4.5,4,2.0,329.0,42.346425,-71.07826999999999,0101000020E610000082902C6002C551C027C286A7572C4540
100,Entire home/apt,Boston,Fenway,1,0.0,5,2.0,324.0,42.343896,-71.098781,0101000020E6100000D61D8B6D52C651C0D49CBCC8042C4540
101,Entire home/apt,Boston,Fenway,0,0.0,3,1.0,422.0,42.343481,-71.100628,0101000020E6100000F6436CB070C651C010E6762FF72B4540
102,Entire home/apt,Boston,Fenway,0,0.0,3,1.0,411.0,42.342971,-71.099812,0101000020E6100000E5EFDE5163C651C0FB3C4679E62B4540
103,Entire home/apt,Boston,Fenway,0,0.0,3,1.0,399.0,42.345115,-71.10038,0101000020E61000000A4B3CA06CC651C0F52D73BA2C2C4540
104,Entire home/apt,Boston,Back Bay,10,4.5,4,2.0,399.0,42.346543,-71.07853100000001,0101000020E6100000382EE3A606C551C030D461855B2C4540
105,Entire home/apt,Boston,Back Bay,0,0.0,6,2.0,349.0,42.346686,-71.079573,0101000020E610000041295AB917C551C093FDF334602C4540
106,Entire home/apt,Boston,Beacon Hill,7,4.0,4,3.0,325.0,42.357256,-71.07111,0101000020E6100000CA1AF5108DC451C05F268A90BA2D4540
107,Entire home/apt,Boston,West End,0,0.0,6,3.0,389.0,42.364579,-71.069824,0101000020E6100000751E15FF77C451C079E75086AA2E4540
108,Entire home/apt,Boston,Beacon Hill,4,0.0,5,2.0,400.0,42.360524,-71.068528,0101000020E61000000FB743C362C451C028B682A6252E4540
109,Entire home/apt,Boston,West End,0,0.0,3,1.0,319.0,42.36319,-71.06910500000001,0101000020E61000005DBF60376CC451C0FC1D8A027D2E4540
110,Entire home/apt,Boston,Jamaica Plain,6,4.5,6,3.0,250.0,42.311853,-71.109263,0101000020E61000006CEA3C2AFEC651C06A1492CCEA274540
111,Entire home/apt,Boston,South End,1,0.0,2,1.0,250.0,42.336659999999995,-71.075024,0101000020E6100000919A7631CDC451C089EFC4AC172B4540
112,Entire home/apt,Boston,South Boston,12,4.5,4,2.0,265.0,42.337648,-71.045008,0101000020E6100000BC033C69E1C251C0A8C7B60C382B4540
113,Entire home/apt,Boston,Mission Hill,0,0.0,5,2.0,190.0,42.329983,-71.110014,0101000020E61000008A0629780AC751C0349E08E23C2A4540
114,Entire home/apt,Boston,Mission Hill,0,0.0,5,2.0,185.0,42.330227,-71.111333,0101000020E6100000CC7D721420C751C0CBA0DAE0442A4540
115,Entire home/apt,Boston,Mission Hill,0,0.0,5,2.0,189.0,42.330445000000005,-71.110215,0101000020E6100000D52137C30DC751C0381092054C2A4540
116,Entire home/apt,Boston,Beacon Hill,6,4.5,3,1.0,199.0,42.359097999999996,-71.071248,0101000020E6100000F279C5538FC451C08E075BECF62D4540
117,Entire home/apt,Boston,Downtown,6,5.0,2,1.0,199.0,42.358839,-71.06229300000001,0101000020E61000004371C79BFCC351C0C2C3B46FEE2D4540
